rhx,rhy,rhz,rwx,rwy,rwz,rex,rey,rez,lhx,lhy,lhz,lwx,lwy,lwz,lex,ley,lez,sx,sy,sz,hx,hy,hz,timestamp,phase rh,phase lh,phase rhlh
5.932415,6.475613,1.83198,5.996586,6.390954,1.904425,6.187373,5.793555,2.060393,4.640353,6.750062,1.804531,4.540445,6.506544,1.859007,4.240722,5.77599,2.032105,5.31338,5.438661,2.080835,5.281688,3.538627,2.146035,3859327,Rest,Rest,Rest
5.913496,6.464862,1.826318,5.978778,6.377296,1.898593,6.180553,5.776255,2.060627,4.393703,6.525111,1.857876,4.355507,6.337835,1.899232,4.240922,5.776005,2.032972,5.317737,5.436718,2.081415,5.286772,3.524593,2.146861,3859671,Rest,Rest,Rest
5.954941,6.519672,1.826178,6.028833,6.452606,1.898995,6.177993,5.759637,2.062533,4.071171,6.355451,1.8914,4.347161,6.336515,1.89869,4.241009,5.77601,2.032976,5.319266,5.435658,2.081833,5.285871,3.525775,2.146664,3859671,Rest,Rest,Rest
5.947573,6.493722,1.831803,6.022573,6.415047,1.904109,6.176832,5.755373,2.063696,4.640951,6.788095,1.810042,4.541063,6.534858,1.863353,4.241397,5.775146,2.032953,5.319587,5.436007,2.082008,5.286385,3.525381,2.146659,3859718,Rest,Rest,Rest
5.946844,6.483962,1.833845,6.021234,6.402694,1.906065,6.192738,5.804894,2.060149,4.639869,6.785146,1.80942,4.540239,6.532641,1.86289,4.24135,5.775129,2.032971,5.317385,5.437651,2.082136,5.285011,3.521733,2.145768,3859765,Rest,Rest,Rest
5.928824,6.478489,1.826897,5.9938,6.392838,1.899286,6.186717,5.762859,2.065598,4.660314,6.764444,1.806832,4.556004,6.517108,1.860919,4.243072,5.7751,2.032849,5.316287,5.436981,2.082592,5.296603,3.514941,2.146672,3859890,Rest,Rest,Rest
5.934702,6.510529,1.821961,6.004788,6.432721,1.894514,6.183751,5.752033,2.066553,4.658306,6.765469,1.806938,4.55442,6.517844,1.861008,4.242765,5.774968,2.032889,5.316641,5.438591,2.082599,5.292448,3.515538,2.145388,3859952,Rest,Rest,Rest
5.933288,6.504174,1.824043,6.003272,6.424813,1.896534,6.195217,5.800195,2.06189,4.65703,6.765776,1.80732,4.55357,6.517904,1.861375,4.243191,5.77429,2.033213,5.312948,5.438107,2.082689,5.292417,3.511918,2.145047,3859952,Rest,Rest,Rest
5.932607,6.506246,1.832066,6.002197,6.428257,1.904632,6.195685,5.800035,2.062037,4.648953,6.763141,1.806349,4.547574,6.515795,1.860657,4.243435,5.773758,2.033249,5.312046,5.438576,2.082479,5.293393,3.511568,2.145185,3859968,Rest,Rest,Rest
5.934094,6.50302,1.832772,6.002055,6.424626,1.905385,6.196025,5.799051,2.062318,4.643715,6.7598,1.805477,4.544005,6.512952,1.86,4.244874,5.772407,2.033239,5.313764,5.438532,2.082764,5.30619,3.499567,2.147019,3859984,Rest,Rest,Rest
5.929971,6.495995,1.831009,5.999436,6.414307,1.903423,6.197539,5.79845,2.06284,4.647572,6.757858,1.805368,4.547228,6.511411,1.859919,4.246197,5.772071,2.033243,5.330184,5.433336,2.082571,5.317403,3.48227,2.148993,3900015,Rest,Rest,Rest
5.927785,6.501685,1.834178,5.997923,6.422014,1.906659,6.198783,5.798296,2.063507,4.653443,6.757465,1.805797,4.551813,6.510892,1.860232,4.246922,5.771173,2.033207,5.331531,5.43011,2.082308,5.319508,3.478837,2.14942,3900046,Rest,Rest,Rest
